EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMERSHEIM, GERMANY (STAID: 12912)
Blended and updated with sources:83673 83831 87725 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 12912, 83831,19410101,  180,    0
 12912, 83831,19410102,   77,    0
 12912, 83831,19410103,   57,    0
 12912, 83831,19410104,   39,    0
 12912, 83831,19410105,    2,    0
 12912, 83831,19410106,    0,    0
 12912, 83831,19410107,    0,    0
 12912, 83831,19410108,    0,    0
 12912, 83831,19410109,    0,    0
 12912, 83831,19410110,    0,    0
 12912, 83831,19410111,    0,    0
 12912, 83831,19410112,    0,    0
 12912, 83831,19410113,    0,    0
 12912, 83831,19410114,    0,    0
 12912, 83831,19410115,    0,    0
 12912, 83831,19410116,   35,    0
 12912, 83831,19410117,    0,    0
 12912, 83831,19410118,   73,    0
 12912, 83831,19410119,   62,    0
 12912, 83831,19410120,   44,    0
 12912, 83831,19410121,    2,    0
 12912, 83831,19410122,    2,    0
 12912, 83831,19410123,   78,    0
 12912, 83831,19410124,   41,    0
 12912, 83831,19410125,  167,    0
 12912, 83831,19410126,   43,    0
 12912, 83831,19410127,    2,    0
 12912, 83831,19410128,    0,    0
 12912, 83831,19410129,    0,    0
 12912, 83831,19410130,    0,    0
 12912, 83831,19410131,   75,    0
 12912, 83831,19410201,   66,    0
 12912, 83831,19410202,    2,    0
 12912, 83831,19410203,    0,    0
 12912, 83831,19410204,    0,    0
 12912, 83831,19410205,    0,    0
 12912, 83831,19410206,    0,    0
 12912, 83831,19410207,   20,    0
 12912, 83831,19410208,    6,    0
 12912, 83831,19410209,    0,    0
 12912, 83831,19410210,    1,    0
 12912, 83831,19410211,    0,    0
 12912, 83831,19410212,    0,    0
 12912, 83831,19410213,  148,    0
 12912, 83831,19410214,    3,    0
 12912, 83831,19410215,    0,    0
 12912, 83831,19410216,    4,    0
 12912, 83831,19410217,   20,    0
 12912, 83831,19410218,    8,    0
 12912, 83831,19410219,   32,    0
 12912, 83831,19410220,    1,    0
 12912, 83831,19410221,    8,    0
 12912, 83831,19410222,   25,    0
 12912, 83831,19410223,   44,    0
 12912, 83831,19410224,   14,    0
 12912, 83831,19410225,   25,    0
 12912, 83831,19410226,   12,    0
 12912, 83831,19410227,   18,    0
 12912, 83831,19410228,   29,    0
 12912, 83831,19410301,   15,    0
 12912, 83831,19410302,    0,    0
 12912, 83831,19410303,   10,    0
 12912, 83831,19410304,   33,    0
 12912, 83831,19410305,    0,    0
 12912, 83831,19410306,    3,    0
 12912, 83831,19410307,    0,    0
 12912, 83831,19410308,   68,    0
 12912, 83831,19410309,    0,    0
 12912, 83831,19410310,    0,    0
 12912, 83831,19410311,    0,    0
 12912, 83831,19410312,    0,    0
 12912, 83831,19410313,    0,    0
 12912, 83831,19410314,    0,    0
 12912, 83831,19410315,    0,    0
 12912, 83831,19410316,    0,    0
 12912, 83831,19410317,    0,    0
 12912, 83831,19410318,    0,    0
 12912, 83831,19410319,    0,    0
 12912, 83831,19410320,    0,    0
