EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MONCHENGLADBACH, GERMANY (STAID: 4423)
Blended and updated with sources:26166 29346 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  4423, 26166,19350101,    4,    0
  4423, 26166,19350102,    0,    0
  4423, 26166,19350103,   35,    0
  4423, 26166,19350104,   53,    0
  4423, 26166,19350105,   48,    0
  4423, 26166,19350106,   28,    0
  4423, 26166,19350107,    3,    0
  4423, 26166,19350108,    0,    0
  4423, 26166,19350109,    0,    0
  4423, 26166,19350110,    0,    0
  4423, 26166,19350111,    0,    0
  4423, 26166,19350112,    8,    0
  4423, 26166,19350113,    2,    0
  4423, 26166,19350114,    1,    0
  4423, 26166,19350115,   36,    0
  4423, 26166,19350116,   14,    0
  4423, 26166,19350117,   18,    0
  4423, 26166,19350118,    0,    0
  4423, 26166,19350119,    0,    0
  4423, 26166,19350120,   21,    0
  4423, 26166,19350121,   39,    0
  4423, 26166,19350122,    8,    0
  4423, 26166,19350123,    0,    0
  4423, 26166,19350124,   15,    0
  4423, 26166,19350125,  223,    0
  4423, 26166,19350126,   21,    0
  4423, 26166,19350127,    1,    0
  4423, 26166,19350128,    1,    0
  4423, 26166,19350129,    0,    0
  4423, 26166,19350130,   39,    0
  4423, 26166,19350131,    8,    0
  4423, 26166,19350201,  111,    0
  4423, 26166,19350202,   39,    0
  4423, 26166,19350203,  112,    0
  4423, 26166,19350204,   61,    0
  4423, 26166,19350205,   39,    0
  4423, 26166,19350206,    0,    0
  4423, 26166,19350207,    2,    0
  4423, 26166,19350208,    0,    0
  4423, 26166,19350209,    0,    0
  4423, 26166,19350210,   51,    0
  4423, 26166,19350211,    0,    0
  4423, 26166,19350212,   21,    0
  4423, 26166,19350213,   51,    0
  4423, 26166,19350214,    0,    0
  4423, 26166,19350215,   69,    0
  4423, 26166,19350216,   58,    0
  4423, 26166,19350217,    0,    0
  4423, 26166,19350218,    0,    0
  4423, 26166,19350219,    0,    0
  4423, 26166,19350220,    1,    0
  4423, 26166,19350221,    3,    0
  4423, 26166,19350222,   58,    0
  4423, 26166,19350223,   19,    0
  4423, 26166,19350224,   51,    0
  4423, 26166,19350225,   12,    0
  4423, 26166,19350226,    0,    0
  4423, 26166,19350227,   29,    0
  4423, 26166,19350228,    0,    0
  4423, 26166,19350301,    0,    0
  4423, 26166,19350302,    0,    0
  4423, 26166,19350303,    4,    0
  4423, 26166,19350304,    1,    0
  4423, 26166,19350305,  126,    0
  4423, 26166,19350306,   12,    0
  4423, 26166,19350307,    0,    0
  4423, 26166,19350308,    2,    0
  4423, 26166,19350309,    0,    0
  4423, 26166,19350310,    0,    0
  4423, 26166,19350311,    0,    0
  4423, 26166,19350312,    0,    0
  4423, 26166,19350313,    0,    0
  4423, 26166,19350314,    0,    0
  4423, 26166,19350315,    0,    0
  4423, 26166,19350316,    0,    0
  4423, 26166,19350317,    0,    0
  4423, 26166,19350318,    0,    0
  4423, 26166,19350319,    0,    0
  4423, 26166,19350320,    0,    0
  4423, 26166,19350321,    0,    0
  4423, 26166,19350322,   35,    0
  4423, 26166,19350323,  110,    0
  4423, 26166,19350324,   16,    0
  4423, 26166,19350325,    0,    0
  4423, 26166,19350326,    0,    0
  4423, 26166,19350327,    0,    0
  4423, 26166,19350328,    0,    0
  4423, 26166,19350329,    0,    0
  4423, 26166,19350330,   69,    0
  4423, 26166,19350331,   81,    0
  4423, 26166,19350401,   15,    0
  4423, 26166,19350402,   31,    0
  4423, 26166,19350403,   12,    0
  4423, 26166,19350404,  119,    0
  4423, 26166,19350405,   51,    0
  4423, 26166,19350406,   47,    0
  4423, 26166,19350407,  129,    0
  4423, 26166,19350408,   64,    0
  4423, 26166,19350409,  109,    0
  4423, 26166,19350410,    3,    0
  4423, 26166,19350411,    6,    0
  4423, 26166,19350412,  151,    0
  4423, 26166,19350413,    0,    0
  4423, 26166,19350414,   15,    0
  4423, 26166,19350415,    7,    0
  4423, 26166,19350416,  171,    0
  4423, 26166,19350417,    8,    0
  4423, 26166,19350418,    0,    0
  4423, 26166,19350419,    0,    0
  4423, 26166,19350420,    0,    0
  4423, 26166,19350421,   59,    0
  4423, 26166,19350422,    8,    0
  4423, 26166,19350423,   16,    0
  4423, 26166,19350424,   69,    0
  4423, 26166,19350425,   49,    0
  4423, 26166,19350426,    0,    0
  4423, 26166,19350427,    0,    0
  4423, 26166,19350428,    5,    0
  4423, 26166,19350429,    1,    0
  4423, 26166,19350430,    3,    0
  4423, 26166,19350501,    0,    0
