EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LANGENLOIS, AUSTRIA (STAID: 24385)
Blended and updated with sources:130583 130609 134717 134795 911070 911075 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 24385,134717,19360101,-9999,    9
 24385,134717,19360102,    1,    0
 24385,134717,19360103,    3,    0
 24385,134717,19360104,   44,    0
 24385,134717,19360105,   11,    0
 24385,134717,19360106,    0,    0
 24385,134717,19360107,    0,    0
 24385,134717,19360108,    0,    0
 24385,134717,19360109,    1,    0
 24385,134717,19360110,   53,    0
 24385,134717,19360111,   51,    0
 24385,134717,19360112,   13,    0
 24385,134717,19360113,    0,    0
 24385,134717,19360114,    0,    0
 24385,134717,19360115,    0,    0
 24385,134717,19360116,    0,    0
 24385,134717,19360117,    0,    0
 24385,134717,19360118,    0,    0
 24385,134717,19360119,    0,    0
 24385,134717,19360120,    0,    0
 24385,134717,19360121,    0,    0
 24385,134717,19360122,   51,    0
 24385,134717,19360123,   14,    0
 24385,134717,19360124,    0,    0
 24385,134717,19360125,    0,    0
 24385,134717,19360126,    3,    0
 24385,134717,19360127,   18,    0
 24385,134717,19360128,    0,    0
 24385,134717,19360129,    0,    0
 24385,134717,19360130,    2,    0
 24385,134717,19360131,   30,    0
 24385,134717,19360201,    4,    0
 24385,134717,19360202,   41,    0
 24385,134717,19360203,    0,    0
 24385,134717,19360204,    0,    0
 24385,134717,19360205,    0,    0
 24385,134717,19360206,    0,    0
 24385,134717,19360207,    1,    0
 24385,134717,19360208,    0,    0
 24385,134717,19360209,   64,    0
 24385,134717,19360210,    5,    0
 24385,134717,19360211,    0,    0
 24385,134717,19360212,    0,    0
 24385,134717,19360213,    0,    0
 24385,134717,19360214,    0,    0
 24385,134717,19360215,    0,    0
 24385,134717,19360216,    0,    0
 24385,134717,19360217,    0,    0
 24385,134717,19360218,    0,    0
 24385,134717,19360219,    0,    0
 24385,134717,19360220,    0,    0
 24385,134717,19360221,    0,    0
 24385,134717,19360222,   34,    0
 24385,134717,19360223,   63,    0
 24385,134717,19360224,   12,    0
 24385,134717,19360225,    0,    0
 24385,134717,19360226,    0,    0
 24385,134717,19360227,    0,    0
 24385,134717,19360228,    8,    0
 24385,134717,19360229,    0,    0
 24385,134717,19360301,    0,    0
 24385,134717,19360302,    0,    0
 24385,134717,19360303,    0,    0
 24385,134717,19360304,    0,    0
 24385,134717,19360305,    0,    0
 24385,134717,19360306,    0,    0
 24385,134717,19360307,  118,    0
 24385,134717,19360308,    0,    0
 24385,134717,19360309,    0,    0
 24385,134717,19360310,    3,    0
 24385,134717,19360311,    1,    0
 24385,134717,19360312,    0,    0
 24385,134717,19360313,    0,    0
 24385,134717,19360314,    0,    0
 24385,134717,19360315,    0,    0
 24385,134717,19360316,    0,    0
 24385,134717,19360317,    0,    0
 24385,134717,19360318,    0,    0
 24385,134717,19360319,    0,    0
 24385,134717,19360320,    0,    0
 24385,134717,19360321,    0,    0
 24385,134717,19360322,    0,    0
 24385,134717,19360323,    0,    0
 24385,134717,19360324,    0,    0
 24385,134717,19360325,    0,    0
 24385,134717,19360326,    0,    0
 24385,134717,19360327,    0,    0
 24385,134717,19360328,    0,    0
 24385,134717,19360329,    0,    0
 24385,134717,19360330,   26,    0
 24385,134717,19360331,   26,    0
 24385,134717,19360401,    1,    0
 24385,134717,19360402,    1,    0
 24385,134717,19360403,    0,    0
 24385,134717,19360404,  136,    0
 24385,134717,19360405,    6,    0
 24385,134717,19360406,    0,    0
 24385,134717,19360407,   77,    0
 24385,134717,19360408,    0,    0
 24385,134717,19360409,    0,    0
 24385,134717,19360410,    2,    0
 24385,134717,19360411,    8,    0
 24385,134717,19360412,   57,    0
 24385,134717,19360413,    0,    0
 24385,134717,19360414,    0,    0
 24385,134717,19360415,    0,    0
 24385,134717,19360416,    0,    0
 24385,134717,19360417,    0,    0
 24385,134717,19360418,    0,    0
 24385,134717,19360419,    0,    0
 24385,134717,19360420,    0,    0
 24385,134717,19360421,    0,    0
 24385,134717,19360422,    0,    0
 24385,134717,19360423,    4,    0
 24385,134717,19360424,    0,    0
 24385,134717,19360425,    0,    0
 24385,134717,19360426,    0,    0
 24385,134717,19360427,    0,    0
 24385,134717,19360428,    0,    0
 24385,134717,19360429,    0,    0
 24385,134717,19360430,    1,    0
 24385,134717,19360501,  215,    0
 24385,134717,19360502,   78,    0
 24385,134717,19360503,  152,    0
 24385,134717,19360504,    0,    0
 24385,134717,19360505,    0,    0
 24385,134717,19360506,    4,    0
 24385,134717,19360507,   59,    0
 24385,134717,19360508,    2,    0
 24385,134717,19360509,    1,    0
 24385,134717,19360510,    0,    0
 24385,134717,19360511,  163,    0
 24385,134717,19360512,    8,    0
 24385,134717,19360513,   18,    0
 24385,134717,19360514,    0,    0
 24385,134717,19360515,    0,    0
 24385,134717,19360516,    0,    0
 24385,134717,19360517,  194,    0
 24385,134717,19360518,    2,    0
 24385,134717,19360519,   18,    0
 24385,134717,19360520,    0,    0
 24385,134717,19360521,    0,    0
 24385,134717,19360522,  146,    0
 24385,134717,19360523,   10,    0
 24385,134717,19360524,    0,    0
 24385,134717,19360525,    0,    0
 24385,134717,19360526,    0,    0
 24385,134717,19360527,    0,    0
 24385,134717,19360528,    1,    0
 24385,134717,19360529,    0,    0
 24385,134717,19360530,  114,    0
 24385,134717,19360531,  112,    0
 24385,134717,19360601,   41,    0
 24385,134717,19360602,    0,    0
 24385,134717,19360603,    0,    0
 24385,134717,19360604,  129,    0
 24385,134717,19360605,   10,    0
 24385,134717,19360606,    7,    0
 24385,134717,19360607,   18,    0
 24385,134717,19360608,    3,    0
 24385,134717,19360609,    1,    0
 24385,134717,19360610,    6,    0
 24385,134717,19360611,   32,    0
 24385,134717,19360612,   73,    0
 24385,134717,19360613,    0,    0
 24385,134717,19360614,    0,    0
 24385,134717,19360615,    4,    0
 24385,134717,19360616,    0,    0
 24385,134717,19360617,    0,    0
 24385,134717,19360618,    0,    0
 24385,134717,19360619,    0,    0
 24385,134717,19360620,    0,    0
 24385,134717,19360621,    0,    0
 24385,134717,19360622,    0,    0
 24385,134717,19360623,    0,    0
 24385,134717,19360624,   18,    0
 24385,134717,19360625,    0,    0
 24385,134717,19360626,    4,    0
 24385,134717,19360627,    0,    0
 24385,134717,19360628,    0,    0
 24385,134717,19360629,    0,    0
 24385,134717,19360630,   74,    0
 24385,134717,19360701,    0,    0
 24385,134717,19360702,   45,    0
 24385,134717,19360703,    0,    0
 24385,134717,19360704,    0,    0
 24385,134717,19360705,    0,    0
 24385,134717,19360706,    0,    0
 24385,134717,19360707,    0,    0
 24385,134717,19360708,   25,    0
 24385,134717,19360709,   48,    0
 24385,134717,19360710,    0,    0
 24385,134717,19360711,   27,    0
 24385,134717,19360712,  261,    0
 24385,134717,19360713,   48,    0
 24385,134717,19360714,    0,    0
 24385,134717,19360715,   32,    0
 24385,134717,19360716,   19,    0
 24385,134717,19360717,    0,    0
 24385,134717,19360718,    0,    0
 24385,134717,19360719,  120,    0
 24385,134717,19360720,   30,    0
 24385,134717,19360721,  103,    0
 24385,134717,19360722,   55,    0
 24385,134717,19360723,   17,    0
 24385,134717,19360724,    0,    0
 24385,134717,19360725,   29,    0
 24385,134717,19360726,    0,    0
 24385,134717,19360727,    0,    0
 24385,134717,19360728,    0,    0
 24385,134717,19360729,    1,    0
 24385,134717,19360730,   18,    0
 24385,134717,19360731,   84,    0
 24385,134717,19360801,    0,    0
 24385,134717,19360802,   37,    0
 24385,134717,19360803,   32,    0
 24385,134717,19360804,   77,    0
 24385,134717,19360805,    0,    0
 24385,134717,19360806,    0,    0
 24385,134717,19360807,    0,    0
 24385,134717,19360808,    0,    0
 24385,134717,19360809,    0,    0
 24385,134717,19360810,    0,    0
 24385,134717,19360811,    0,    0
 24385,134717,19360812,   36,    0
 24385,134717,19360813,    0,    0
 24385,134717,19360814,    0,    0
 24385,134717,19360815,    0,    0
 24385,134717,19360816,    0,    0
 24385,134717,19360817,    0,    0
 24385,134717,19360818,    0,    0
 24385,134717,19360819,   32,    0
 24385,134717,19360820,   25,    0
 24385,134717,19360821,    0,    0
 24385,134717,19360822,    1,    0
 24385,134717,19360823,    0,    0
 24385,134717,19360824,    0,    0
 24385,134717,19360825,    0,    0
 24385,134717,19360826,    0,    0
 24385,134717,19360827,    0,    0
 24385,134717,19360828,    0,    0
 24385,134717,19360829,    0,    0
 24385,134717,19360830,    0,    0
 24385,134717,19360831,   10,    0
 24385,134717,19360901,    0,    0
 24385,134717,19360902,    0,    0
 24385,134717,19360903,    0,    0
 24385,134717,19360904,    0,    0
 24385,134717,19360905,    2,    0
 24385,134717,19360906,   57,    0
 24385,134717,19360907,    8,    0
 24385,134717,19360908,    0,    0
 24385,134717,19360909,   27,    0
 24385,134717,19360910,   19,    0
 24385,134717,19360911,    0,    0
 24385,134717,19360912,    0,    0
 24385,134717,19360913,    0,    0
 24385,134717,19360914,    0,    0
